subject,word,entry_number,x,y,domain,pair,word1,x1,y1,word2,x2,y2,euclidean_distance
24628,bra,18,347,98,clothes,"bra, vest",bra,347,98,vest,492,257,215.18828964420902
24628,vest,19,492,257,clothes,"vest, boxers",vest,492,257,boxers,306,75,260.23066690918654
24628,boxers,20,306,75,clothes,"boxers, tights",boxers,306,75,tights,331,67,26.248809496813376
24628,tights,21,331,67,clothes,"tights, stockings",tights,331,67,stockings,288,95,51.31276644267
24628,stockings,22,288,95,clothes,"stockings, boots",stockings,288,95,boots,648,72,360.73397400300405
24628,boots,23,648,72,clothes,NA,boots,648,72,NA,NA,NA,NA
24628,tofu,1,263,287,foods,"tofu, peas",tofu,263,287,peas,240,260,35.4682957019364
24628,peas,2,240,260,foods,"peas, rice",peas,240,260,rice,34,282,207.17142660125697
24628,rice,3,34,282,foods,"rice, beef",rice,34,282,beef,434,279,400.0112498418013
24628,beef,4,434,279,foods,"beef, pork",beef,434,279,pork,426,254,26.248809496813376
24628,pork,5,426,254,foods,"pork, lettuce",pork,426,254,lettuce,587,263,161.25135658344087
24628,lettuce,6,587,263,foods,"lettuce, spinach",lettuce,587,263,spinach,560,284,34.20526275297414
24628,spinach,7,560,284,foods,"spinach, broccoli",spinach,560,284,broccoli,596,288,36.22154055254967
24628,broccoli,8,596,288,foods,"broccoli, avocado",broccoli,596,288,avocado,200,256,397.290825466685
24628,avocado,9,200,256,foods,"avocado, tomato",avocado,200,256,tomato,585,245,385.1571108002551
24628,tomato,10,585,245,foods,"tomato, ocra",tomato,585,245,ocra,241,235,344.14531814336806
24628,ocra,11,241,235,foods,"ocra, basil",ocra,241,235,basil,750,295,512.5241457726651
24628,basil,12,750,295,foods,"basil, thyme",basil,750,295,thyme,738,270,27.730849247724095
24628,thyme,13,738,270,foods,"thyme, sage",thyme,738,270,sage,751,311,43.01162633521314
24628,sage,14,751,311,foods,"sage, squash",sage,751,311,squash,224,216,535.4941643006018
24628,squash,15,224,216,foods,"squash, garlic",squash,224,216,garlic,736,246,512.8781531709067
24628,garlic,16,736,246,foods,"garlic, ginger",garlic,736,246,ginger,755,227,26.870057685088806
24628,ginger,17,755,227,foods,"ginger, pasta",ginger,755,227,pasta,48,259,707.7238161882077
24628,pasta,18,48,259,foods,"pasta, flour",pasta,48,259,flour,52,303,44.181444068749045
24628,flour,19,52,303,foods,"flour, sugar",flour,52,303,sugar,3,296,49.49747468305833
24628,sugar,20,3,296,foods,"sugar, pepper",sugar,3,296,pepper,558,244,557.4307131832619
24628,pepper,21,558,244,foods,"pepper, banana",pepper,558,244,banana,713,124,196.02295783912658
24628,banana,22,713,124,foods,"banana, grapes",banana,713,124,grapes,695,107,24.758836806279895
24628,grapes,23,695,107,foods,"grapes, apple",grapes,695,107,apple,731,87,41.182520563948
24628,apple,24,731,87,foods,"apple, strawberry",apple,731,87,strawberry,689,140,67.62396025078685
24628,strawberry,25,689,140,foods,"strawberry, kiwi",strawberry,689,140,kiwi,677,62,78.91767862779544
24628,kiwi,26,677,62,foods,"kiwi, fish",kiwi,677,62,fish,425,221,297.9681191000138
24628,fish,27,425,221,foods,"fish, eggroll",fish,425,221,eggroll,240,42,257.42183279589943
24628,eggroll,28,240,42,foods,"eggroll, egg",eggroll,240,42,egg,427,226,262.3451924468981
24628,egg,29,427,226,foods,"egg, ham",egg,427,226,ham,393,275,59.64059020499378
24628,ham,30,393,275,foods,"ham, cheese",ham,393,275,cheese,380,220,56.515484603779164
24628,cheese,31,380,220,foods,"cheese, ice cream",cheese,380,220,ice cream,25,234,355.27594908746636
24628,ice cream,32,25,234,foods,"ice cream, walnuts",ice cream,25,234,walnuts,471,49,482.84676658335405
24628,walnuts,33,471,49,foods,"walnuts, pineapple",walnuts,471,49,pineapple,731.5,50,260.5019193787255
24628,pineapple,34,731.5,50,foods,"pineapple, cranberry",pineapple,731.5,50,cranberry,665,34,68.39773388058994
24628,cranberry,35,665,34,foods,NA,cranberry,665,34,NA,NA,NA,NA
24628,jazz,1,415,307,music-genres,"jazz, rock",jazz,415,307,rock,39,295,376.19144062564743
24628,rock,2,39,295,music-genres,"rock, r&b",rock,39,295,r&b,493,307,454.1585626188281
24628,r&b,3,493,307,music-genres,"r&b, alternative",r&b,493,307,alternative,131,296,362.1670885102621
24628,alternative,4,131,296,music-genres,"alternative, jive",alternative,131,296,jive,419,277,288.62605564986677
24628,jive,5,419,277,music-genres,"jive, jazz",jive,419,277,jazz,418,334,57.0087712549569
24628,jazz,6,418,334,music-genres,"jazz, classical",jazz,418,334,classical,305,252,139.61733416735902
24628,classical,7,305,252,music-genres,"classical, rap",classical,305,252,rap,541,189,244.2642012248213
24628,rap,8,541,189,music-genres,"rap, reggaeton",rap,541,189,reggaeton,636,34,181.79658962697843
24628,reggaeton,9,636,34,music-genres,"reggaeton, calypso",reggaeton,636,34,calypso,654,117,84.92938243034621
24628,calypso,10,654,117,music-genres,"calypso, reggae",calypso,654,117,reggae,604,80,62.20128616033595
24628,reggae,11,604,80,music-genres,"reggae, christian",reggae,604,80,christian,733,345,294.7303852676205
24628,christian,12,733,345,music-genres,"christian, easy listening",christian,733,345,easy listening,258,64,551.8931055920159
24628,easy listening,13,258,64,music-genres,"easy listening, disco",easy listening,258,64,disco,109,204,204.45292856792244
24628,disco,14,109,204,music-genres,"disco, pop",disco,109,204,pop,114,61,143.0873858870865
24628,pop,15,114,61,music-genres,"pop, country",pop,114,61,country,740,288,665.8866269869069
24628,country,16,740,288,music-genres,"country, dance hall",country,740,288,dance hall,703,76,215.20455385516357
24628,dance hall,17,703,76,music-genres,"dance hall, orchestral",dance hall,703,76,orchestral,360,191,361.76511716858494
24628,orchestral,18,360,191,music-genres,"orchestral, christmas",orchestral,360,191,christmas,163,29,255.05489605181077
24628,christmas,19,163,29,music-genres,"christmas, holiday",christmas,163,29,holiday,168,87,58.215118311311535
24628,holiday,20,168,87,music-genres,NA,holiday,168,87,NA,NA,NA,NA
24628,teacher,1,42,339,occupations,"teacher, soldier",teacher,42,339,soldier,54,300,40.80441152620633
24628,soldier,2,54,300,occupations,"soldier, police",soldier,54,300,police,170,342,123.36936410632909
24628,police,3,170,342,occupations,"police, cook",police,170,342,cook,282,341,112.0044641967453
24628,cook,4,282,341,occupations,"cook, waiter",cook,282,341,waiter,282,300,41
24628,waiter,5,282,300,occupations,"waiter, cleaner",waiter,282,300,cleaner,286,268,32.2490309931942
24628,cleaner,6,286,268,occupations,"cleaner, investor",cleaner,286,268,investor,398,347,137.05838172107534
24628,investor,7,398,347,occupations,"investor, entrepreneur",investor,398,347,entrepreneur,392,312,35.510561809129406
24628,entrepreneur,8,392,312,occupations,"entrepreneur, delivery person",entrepreneur,392,312,delivery person,249,248,156.66843970627906
24628,delivery person,9,249,248,occupations,"delivery person, priest",delivery person,249,248,priest,281,216,45.254833995939045
24628,priest,10,281,216,occupations,"priest, nurse",priest,281,216,nurse,563,324,301.97350877187887
24628,nurse,11,563,324,occupations,"nurse, doctor",nurse,563,324,doctor,553,353,30.675723300355934
24628,doctor,12,553,353,occupations,"doctor, caregiver",doctor,553,353,caregiver,36,276,522.7025923027358
24628,caregiver,13,36,276,occupations,"caregiver, data entry",caregiver,36,276,data entry,263,190,242.7447218787671
24628,data entry,14,263,190,occupations,"data entry, programmer",data entry,263,190,programmer,414,295,183.91846019364124
24628,programmer,15,414,295,occupations,"programmer, psychologist",programmer,414,295,psychologist,575,309,161.60754932861275
24628,psychologist,16,575,309,occupations,"psychologist, manager",psychologist,575,309,manager,660,48,274.4922585429323
