SID,response,entry,entry_number,response_times
LJSMGNV0,Sylvia Plath,sylvia plath,4,2307
LJSMGNV0,Poe,edgar allan poe,5,8568
LJSMGNV0,Oscar Wilde,oscar wilde,6,4408
LN8REBYY,charles dickens,charles dickens,1,3561.3
LN8REBYY,ann patchett,ann patchett,2,2417.2
LN8REBYY,catherine newman,catherine newman,3,3546.5
LN8REBYY,joan didion,joan didion,4,5926.9
LN8REBYY,patricia lockwood,patricia lockwood,5,9782.9
LN8REBYY,j rr tolkein,j.r.r. tolkien,6,4081
LN8REBYY,pathrick rothfuss,patrick rothfuss,7,6846.1
LN8REBYY,george rr martin,george r.r. martin,8,7110.4
LN8REBYY,harriet beecher stowe,harriet beecher stowe,9,15132.3
LUKGQM9Q,Jane Austen,jane austen,1,24122.2
LUKGQM9Q,Suzanne Collins,suzanne collins,2,3745.1
LUKGQM9Q,Mary Shelley,mary shelley,3,9909.3
LUKGQM9Q,Shakespeare,shakespeare,4,2207.9
LUKGQM9Q,F. Scott Fitzgerald,f. scott fitzgerald,5,13771
MCYP84X4,George Orwell,george orwell,1,2779
MCYP84X4,RF Kuang,rf kuang,2,18057
MCYP84X4,Sarah Mass,sarah mass,3,9876
MCYP84X4,J K Rowling,j.k. rowling,4,10760
MCYP84X4,Rick Riordan,rick riordan,5,3146
N9V0QKO1,rf kuang,rf kuang,1,2562
N9V0QKO1,Scott fitsgerald,f. scott fitzgerald,2,8804
N9V0QKO1,Emily danforth,emily danforth,3,6242
N9V0QKO1,claudia casaneda,claudia casaneda,4,6760
N9V0QKO1,hortense calisher,hortense calisher,5,5272
N9V0QKO1,Steven king,stephen king,6,5592
N9V0QKO1,haruki murakami,haruki murakami,7,10987
N9V0QKO1,bell hooks,bell hooks,8,12297
NHCBLFL1,dan brown,dan brown,1,1789
NHCBLFL1,dante,dante,2,1606
NHCBLFL1,silva plath,sylvia plath,3,5969
NHCBLFL1,john green,john green,4,2667
NHCBLFL1,JK rowling,j.k. rowling,5,3063
NHCBLFL1,rick riordan,rick riordan,6,4550
NHCBLFL1,dastoyevski,fyodor dostoevsky,7,18034
NHCBLFL1,jane austen,jane austen,8,6825
NHCBLFL1,jrr tolkin,j.r.r. tolkien,9,8743
NRXHKYAS,Thomas Nagel,thomas nagel,1,2424.7
NRXHKYAS,Mill,john stuart mill,2,1970.4
NRXHKYAS,Shakespeare,william shakespeare,3,6022.1
NRXHKYAS,john flanagan,john flanagan,4,30354.9
NRXHKYAS,eoin colfer,eoin colfer,5,15756.2
NXGNLGFN,anne m martin,anne m. martin,1,6061
NXGNLGFN,Joan didion,joan didion,2,8119
NXGNLGFN,Jane austen,jane austen,3,9735
NXGNLGFN,Jane eyre,jane eyre,4,3511
NZ8ZTZHG,Chinua Achebe,chinua achebe,1,6777
NZ8ZTZHG,Jane Austen,jane austen,2,12579
NZ8ZTZHG,Paulo Coelho,paulo coelho,3,9985
NZ8ZTZHG,Gabriel Garcia,gabriel garcía márquez,4,9977
NZ8ZTZHG,James clear,james clear,5,6522
NZ8ZTZHG,James baldwin,james baldwin,6,12409
O4NB1X6B,JK ROWLING,j.k. rowling,1,3438.7
O4NB1X6B,stephen king,stephen king,2,3275
O4NB1X6B,rick riordan,rick riordan,3,6977.4
O4NB1X6B,muriel spark,muriel spark,4,18333.9
O4NB1X6B,charlotte bronte,charlotte brontë,5,9131
O4NB1X6B,simone d beavior,simone de beauvoir,6,2838.6
OEQ7A3BW,Ijeoma Umebinyuo,ijeoma umebinyuo,1,7549
OEQ7A3BW,Chinua Achebe,chinua achebe,2,3660
OEQ7A3BW,Ngugi w'a Thiong'O,ngũgĩ wa thiong'o,3,9095
OEQ7A3BW,Lisa Miller,lisa miller,4,10295
OEQ7A3BW,Colleen Hoover,colleen hoover,5,7639
OEQ7A3BW,Danielle Stone,danielle stone,6,10417
OEQ7A3BW,Danielle steele,danielle steel,7,4513
OUSZQD8K,j k rowling,j.k. rowling,1,4701.5
OUSZQD8K,erin hunter,erin hunter,2,4313.3
OX30M9NX,J Michael Sandel,j michael sandel,1,3432
OX30M9NX,Karl Marx,karl marx,2,3163
OX30M9NX,WEB DuBoic,web duboic,3,3378
OX30M9NX,Max Weber,max weber,4,2093
OX30M9NX,Emile Durkheim,emile durkheim,5,7761
OX30M9NX,Brandon Sanderson,brandon sanderson,6,4655
